tBodyAcc-mean()-X,tBodyAcc-mean()-Y,tBodyAcc-mean()-Z,"tBodyAcc-correlation()-X,Y","tBodyAcc-correlation()-X,Z","tBodyAcc-correlation()-Y,Z",tGravityAcc-mean()-X,tGravityAcc-mean()-Y,tGravityAcc-mean()-Z,"tGravityAcc-correlation()-X,Y","tGravityAcc-correlation()-X,Z","tGravityAcc-correlation()-Y,Z",tBodyGyro-mean()-X,tBodyGyro-mean()-Y,tBodyGyro-mean()-Z,tBodyAccMag-mean(),"angle(X,gravityMean)","angle(Y,gravityMean)","angle(Z,gravityMean)",Activity
0.28858451,-0.020294171,-0.13290514,0.37631389,0.43512919,0.66079033,0.96339614,-0.14083968,0.11537494,0.57022164,0.43902735,0.98691312,-0.006100849,-0.031364791,0.1077254,-0.95943388,-0.84124676,0.17994061,-0.058626924,STANDING
0.27841883,-0.016410568,-0.12352019,-0.013428663,-0.07269189,0.57938169,0.96656113,-0.14155127,0.10937881,-0.83128389,-0.86571108,0.97438562,-0.01611162,-0.083893777,0.10058429,-0.97928915,-0.8447876,0.18028889,-0.054316717,STANDING
0.27965306,-0.019467156,-0.11346169,-0.12469839,-0.18110479,0.60890014,0.9668781,-0.14200984,0.10188392,-0.18108991,0.33793587,0.64341699,-0.031698294,-0.10233542,0.096126876,-0.98370313,-0.84893347,0.18063731,-0.049117815,STANDING
0.27917394,-0.026200646,-0.12328257,-0.30569299,-0.36265405,0.50745887,0.96761519,-0.14397645,0.099850143,-0.99130869,-0.96882139,0.98425552,-0.043409983,-0.091386182,0.085537699,-0.98654176,-0.84864938,0.18193476,-0.047663183,STANDING
0.27662877,-0.016569655,-0.11536185,-0.15580432,-0.18976271,0.59921296,0.9682244,-0.14875022,0.094485896,-0.40833042,-0.18484007,0.96479651,-0.033960416,-0.074708034,0.077392035,-0.99282715,-0.84786525,0.18515116,-0.043892254,STANDING
0.27719877,-0.01009785,-0.10513725,-0.20997915,-0.15106365,0.18042444,0.9679482,-0.14820997,0.091909715,-0.56395092,0.4664707,0.44309711,-0.028775508,-0.070393108,0.079012142,-0.99429499,-0.84963158,0.18482251,-0.042126383,STANDING
0.27945388,-0.019640776,-0.11002215,-0.095852111,-0.13572875,0.61084543,0.9679295,-0.14428214,0.093144628,0.72642714,0.93933811,0.87910178,-0.028600251,-0.083046734,0.095464555,-0.9874657,-0.85215025,0.18216997,-0.043009987,STANDING
0.27743247,-0.030488303,-0.12536043,-0.16163423,-0.017120153,0.56142107,0.96849148,-0.14670536,0.091708159,-0.93336652,-0.8592257,0.98218482,-0.024200262,-0.07789261,0.094095607,-0.97745766,-0.85101671,0.18377851,-0.041975833,STANDING
0.27729342,-0.021750698,-0.12075082,-0.16479067,-0.033767493,0.72423433,0.96848115,-0.15437401,0.085118255,0.34379322,0.55275926,0.9683003,-0.024831025,-0.066401639,0.077862982,-0.98363087,-0.84797148,0.18898248,-0.037363927,STANDING
0.28058569,-0.009960298,-0.10606516,-0.17624116,-0.44765092,0.39186658,0.96841804,-0.15630201,0.08087447,0.64495215,-0.029064172,-0.53613893,-0.0234154,-0.070925683,0.078975843,-0.98677197,-0.84829438,0.19031033,-0.034417291,STANDING
